,sign_form,f,a,m,all_locs,count
46,BU,t,,,"P313420.7.4.1 (o 6),P313476.41.2.1 (e. 1),P313498.29.5.2 (r 14'),P313505.16.8.0 (o 15),P313509.15.1.1 (o 14),P313510.37.5.1 (r 2),P313547.10.1.2 (o 8'),P313547.37.1.1 (r 13),P313552.30.5.2 (r 8),P313576.19.5.1 (r 3'),P313699.12.2.2 (o 16),P313699.13.2.2 (o 17),P313778.3.6.1 (o 1'),P313848.5.4.1 (o 3'),P313886.7.1.1 (r 3'),P313886.12.1.1 (r 8'),P314000.6.1.0 (o 4'),P314000.20.4.3 (e. 1),P314008.7.1.2 (o 5'),P334039.27.3.1 (r 11),P334047.6.2.2 (o 5),P334074.16.1.1 (o 15),P334075.5.1.2 (o 4),P334076.13.1.3 (o 12),P334076.16.4.3 (o 15),P334076.28.1.1 (r 4'),P334076.34.4.2 (r 10'),P334076.36.4.2 (r 12'),P334076.37.1.2 (r 13'),P334076.37.2.0 (r 13'),P334076.39.3.1 (r 15'),P334077.55.2.2 (r 22),P334079.32.3.2 (r 8'),P334119.7.2.2 (o 6),P334119.12.2.3 (o 11),P334135.12.6.2 (o 11),P334139.30.1.1 (r 10),P334143.39.5.0 (r 1),P334146.21.1.1 (r 6'),P334163.5.1.0 (o 4),P334163.25.1.2 (r 5),P334179.6.1.2 (o 5),P334179.14.2.0 (o 13),P334179.14.2.1 (o 13),P334179.22.3.2 (b.e. 20),P334179.33.2.2 (r 8),P334213.6.1.2 (o 5),P334271.6.2.2 (o 5),P334280.13.4.1 (nolabel),P334280.14.1.2 (o 13),P334280.21.2.1 (r 2),P334280.29.2.1 (r 10),P334331.6.1.2 (o 5),P334331.16.2.2 (o 15),P334331.17.1.1 (o 16),P334337.3.6.1 (o 2),P334343.7.1.1 (o 6),P334347.14.2.0 (o 13),P334359.12.1.1 (o 11),P334359.26.1.1 (r 9),P334359.29.1.1 (r 12),P334367.8.1.1 (o 7),P334367.25.1.2 (r 8),P334367.26.2.1 (r 9),P334367.30.3.1 (r 13),P334373.6.1.1 (o 5),P334373.18.4.1 (nolabel),P334390.7.6.1 (o 6),P334390.8.1.1 (o 7),P334502.6.6.2 (o 5),P334519.5.6.1 (o 4),P334519.16.7.1 (r 5'),P334519.17.3.2 (r 6'),P334561.9.4.1 (o 8),P334561.10.4.2 (o 9),P334561.22.1.2 (r 8'),P334673.25.2.2 (r 5'),P334696.20.8.1 (r 7'),P334716.6.1.1 (o 5),P334716.14.1.0 (o 13),P334728.34.1.1 (r 14),P334830.10.2.2 (o 9'),P334835.15.3.1 (r 7'),P334857.11.1.1 (o 10),P334857.22.5.2 (r 4'),X900010.28.3.2 (r 2)",86
47,BU,td,,,"P334359.8.1.1 (o 7),P334610.25.1.2 (r 5),P334665.19.1.1 (r 3)",3
48,BU,tdp,,,"P334113.6.2.2 (o 5),P334113.7.2.0 (o 6),P334113.22.1.2 (b.e. 20),P334113.29.2.2 (r 4),P334113.40.1.2 (r 15),P334586.13.2.2 (o 10),P334665.8.1.2 (o 7),P334665.9.2.2 (o 8),P334665.11.2.0 (o 10),P334665.20.1.2 (r 4),P334729.7.2.0 (o 6),P334774.6.4.1 (o 5)",12
49,BU,tm,,,P334193.15.2.4 (o 14),1
50,BU,tp,,,"P313472.55.1.2 (r.e. 27),P313480.13.3.2 (o 12),P313516.21.4.2 (o 19),P313516.51.6.1 (r 10),P313552.34.4.1 (r 12),P313553.17.1.3 (o 15'),P313598.11.4.2 (o 10),P313598.13.5.2 (o 12),P313598.19.2.2 (r 3'),P313598.22.2.1 (r 6'),P313626.22.1.2 (r 3),P313778.8.7.0 (o 6'),P314140.8.1.2 (o 6'),P314177.6.1.1 (o 4'),P314177.8.1.1 (o 6'),P334037.6.1.2 (o 5),P334037.8.1.3 (o 7),P334037.15.1.1 (o 14),P334037.21.3.1 (r 5),P334037.24.2.1 (r 8),P334079.6.4.2 (o 5),P334079.32.3.3 (r 8'),P334118.15.1.1 (o 14),P334135.10.5.2 (o 9),P334135.18.4.2 (o 17),P334135.34.3.1 (r 6),P334135.48.5.2 (r 19),P334152.14.1.2 (o 13),P334152.34.3.2 (r 15),P334179.9.2.2 (o 8),P334199.6.3.3 (o 5),P334213.13.1.1 (o 12),P334373.9.3.0 (o 8),P334502.29.5.2 (r 13'),P334615.5.2.2 (o 4),P334676.6.4.2 (o 5),P334698.22.2.1 (r 5'),P334774.17.1.3 (o 16),P334776.25.1.1 (r 3)",39
51,BUR,dp,,,"P313417.38.8.1 (r 8),P313515.9.4.2 (o 8),P334413.7.4.1 (o 6)",3
52,BUR,m,,,P313483.25.3.1 (r 6'),1
53,BUR,p,,,"P313476.6.1.1 (o 5),P313872.7.8.2 (o 5'),P313998.8.6.1 (o 7),P314280.6.4.1 (o 4'),P334091.19.1.2 (r 7'),P334344.8.4.1 (o 7)",6
54,DA,d,,,"P313419.12.6.2 (o 10),P313420.30.3.1 (r 12'),P313422.18.4.1 (r 3'),P313425.21.3.2 (o 20),P313425.34.4.1 (r 2),P313425.50.4.1 (r 18),P313427.33.5.3 (r 14),P313427.35.3.2 (r 16),P313452.10.2.1 (o 9),P313452.25.2.1 (o 24),P313452.57.2.2 (r 22),P313453.27.3.1 (r 7),P313454.13.2.0 (o 12),P313472.34.2.2 (r 7'),P313473.21.6.1 (r 3),P313474.9.4.2 (o 8),P313482.7.1.1 (o 5'),P313483.24.1.2 (r 5'),P313487.10.2.1 (o 8'),P313487.37.5.1 (r 18),P313500.6.3.1 (o 4'),P313502.6.3.1 (o 4),P313508.14.7.2 (o 12'),P313510.20.3.0 (o 26),P313513.7.3.1 (o 5'),P313517.16.5.1 (r 4),P313527.8.1.1 (o 7),P313553.21.6.1 (o 19'),P313560.11.3.1 (o 9'),P313571.36.4.1 (r 13),P313571.38.3.3 (r 15),P313575.23.2.1 (o 22),P313575.24.3.2 (o 23),P313575.49.3.1 (r 11),P313578.4.5.2 (o 2'),P313581.6.3.1 (o 4'),P313587.13.2.1 (o 11),P313601.9.2.1 (o 7'),P313607.6.3.1 (o 4'),P313607.10.4.1 (o 8'),P313609.9.2.2 (r 6),P313615.13.1.1 (r 3'),P313615.13.1.2 (r 3'),P313624.8.2.0 (o 6'),P313627.12.2.2 (r 3),P313635.8.1.1 (b.e. 5'),P313635.11.2.1 (r 2),P313657.7.3.1 (o 5'),P313660.5.1.1 (o 6),P313660.22.1.1 (r 6),P313667.6.1.1 (b.e. 3'),P313711.24.1.1 (r 7'),P313738.9.3.1 (o 7'),P313738.17.4.1 (r 4),P313756.7.8.0 (o 5'),P313759.8.6.1 (o 6'),P313782.7.1.1 (o 5'),P313783.13.4.1 (r 1),P313808.7.1.3 (o 5'),P313848.10.5.3 (o 8'),P313853.4.7.1 (o 2'),P313856.10.3.0 (o 9),P313886.14.1.1 (r 10'),P313889.8.5.3 (o 6'),P313892.7.5.1 (o 5'),P313961.5.3.1 (o 3'),P314008.4.2.1 (o 2'),P314008.11.5.1 (b.e. 8'),P314023.10.1.1 (r 2'),P314043.9.5.1 (o 7'),P314084.10.6.1 (o 8'),P314086.6.6.0 (o 4'),P314086.15.5.1 (r 4'),P314097.8.2.1 (o 6'),P314100.6.5.1 (o 4'),P314136.8.3.1 (o 6'),P314137.5.4.3 (o 3'),P314137.11.4.0 (o 9'),P314137.13.3.0 (o 11'),P314187.5.1.1 (o 3'),P314188.3.6.0 (o 1'),P314200.14.2.0 (r 3'),P314208.5.5.0 (o 3'),P314234.5.3.3 (r 2),P314236.15.2.1 (o 17),P314236.29.3.1 (e. 3),P314249.8.2.2 (o 6'),P314273.8.1.0 (o 6),P314273.11.3.1 (o 9),P314273.12.2.1 (o 10),P314275.4.1.2 (o 2'),P314275.4.2.1 (o 2'),P314276.10.1.1 (o 8'),P314283.25.1.2 (r 8'),P314297.9.1.1 (o 7'),P314301.12.4.1 (o 11),P314301.19.4.1 (r 3'),P314301.20.3.2 (r 4'),P314304.19.6.1 (r 2),P334038.9.1.3 (o 8),P334038.15.3.1 (o 14),P334049.28.2.2 (r 8),P334049.33.3.1 (r 13),P334049.33.3.2 (r 13),P334060.29.1.1 (r 8),P334069.13.2.1 (o 12),P334070.8.1.1 (o 7),P334102.5.3.1 (o 4),P334135.32.1.1 (r 4),P334135.37.1.2 (r 9),P334137.9.1.1 (o 8),P334149.18.1.2 (r 1),P334152.9.1.3 (o 8),P334160.17.1.1 (r 3'),P334170.23.1.1 (r 8'),P334180.11.2.2 (o 10),P334180.15.1.0 (o 14),P334180.20.4.2 (r 2),P334181.6.2.2 (o 5),P334203.8.3.2 (o 7),P334203.9.3.2 (o 8),P334205.25.2.1 (r 2),P334205.25.2.2 (r 2),P334213.10.1.1 (o 9),P334222.18.3.1 (o 17),P334281.7.3.1 (o 6),P334298.42.3.1 (r.e. 19),P334302.8.3.2 (o 7),P334302.8.3.3 (o 7),P334302.16.2.1 (o 15),P334302.25.1.2 (r 4),P334302.25.1.3 (r 4),P334302.30.1.1 (r 9),P334308.8.1.3 (o 7),P334308.26.2.1 (r 4),P334314.46.1.3 (e. 4),P334318.7.3.1 (o 6'),P334318.10.4.2 (o 9'),P334318.28.1.1 (r 11'),P334330.10.5.1 (o 9),P334332.13.1.3 (o 12),P334333.36.2.1 (r 16'),P334335.8.6.4 (o 7),P334339.7.3.4 (o 6),P334344.3.2.3 (o 2),P334345.3.2.3 (o 2),P334346.3.2.3 (o 2),P334346.8.4.3 (o 7),P334347.13.4.1 (o 12),P334359.9.3.1 (o 8),P334359.14.3.1 (nolabel),P334360.6.4.2 (o 5),P334367.6.4.4 (o 5),P334369.11.2.1 (o 10),P334369.16.4.0 (o 15),P334369.18.1.1 (o 17),P334381.33.3.1 (r 7),P334381.41.5.2 (r 15),P334421.9.4.0 (o 7'),P334446.24.2.3 (r 3),P334498.23.1.1 (r 7'),P334498.30.2.1 (r 14'),P334543.10.1.1 (o 9),P334543.39.1.1 (r 13),P334555.18.4.3 (o 17),P334564.5.3.1 (o 4),P334587.17.4.1 (r 4'),P334587.17.4.2 (r 4'),P334595.11.3.2 (o 9'),P334595.17.1.1 (r 1),P334607.33.1.1 (r 12),P334612.37.2.1 (e. 2),P334621.9.3.2 (o 8),P334621.22.3.3 (r 4),P334621.22.3.4 (r 4),P334625.6.2.1 (o 5),P334644.11.1.1 (o 9'),P334656.8.2.0 (o 7),P334667.7.2.1 (o 5'),P334683.4.3.1 (o 3),P334692.9.3.0 (o 7'),P334694.10.3.1 (r 6'),P334694.14.4.1 (r 10'),P334697.14.2.1 (o 12'),P334697.26.1.1 (r 7'),P334710.29.3.1 (r 7),P334715.14.1.1 (o 13),P334715.14.3.3 (o 13),P334715.29.4.3 (r 4),P334715.36.1.1 (r 11),P334715.37.1.1 (r 12),P334721.18.3.3 (r 4),P334725.13.3.1 (r 4'),P334726.26.1.1 (r 5),P334728.12.1.1 (o 10),P334728.12.1.1 (o 10),P334728.27.2.1 (r 7),P334771.27.7.1 (r 4'),P334773.6.3.3 (o 4'),P334781.15.5.3 (o 14),P334783.22.2.2 (r 4'),P334792.11.2.1 (o 10),P334792.13.3.1 (o 12),P334804.9.2.1 (o 8),P334825.41.3.1 (r 14),P334825.50.3.2 (r 22),P334831.9.5.2 (o 7'),P334831.19.3.1 (r 1'),P334831.23.2.2 (r 5'),P334834.30.7.2 (r 11'),P334835.15.1.1 (r 7'),P334864.21.7.1 (r 4),P334865.24.1.1 (r 3),P334907.4.2.1 (o 2'),P334916.11.1.2 (o 10),P336178.7.2.2 (o 6),P393866.19.2.1 (b.e. 17),X900008.33.5.1 (r 30)",218
55,DA,dm,,,P313453.32.3.1 (r 12),1
56,DA,dp,,,P334825.30.1.1 (r 3),1
57,DA,m,,,"P334223.23.2.1 (r 6'),P393866.15.5.1 (o 14)",2
58,DA,t,,,"P314037.20.5.1 (e. 2),P314041.7.6.0 (o 5'),P334146.19.1.1 (r 4'),P334182.16.1.2 (r 3'),P334280.14.1.1 (o 13),P334291.8.1.1 (o 7),P334373.24.2.2 (r 7)",7
59,DA,y,,,"P313511.22.1.1 (r 11),P314280.8.5.0 (o 6')",2
60,DAM,m,,,"P313425.25.3.1 (o 24),P313474.29.3.1 (r 6')",2
61,DAM,p,,,P334910.12.2.1 (o 11),1
62,DAM,t,,,P334606.27.1.1 (o 26),1
63,DI,d,,,"P224485.33.3.1 (o 32),P313417.47.1.1 (r 17),P313425.7.2.2 (o 6),P313425.19.3.1 (o 18),P313425.24.4.2 (o 23),P313434.7.1.1 (o 6),P313437.4.2.0 (o 3),P313439.31.4.2 (r 9),P313447.4.2.0 (o 3),P313452.52.1.1 (r 17),P313452.53.2.0 (r 18),P313457.4.2.0 (o 3),P313462.5.5.2 (o 4),P313477.40.2.1 (r 14'),P313477.41.1.0 (r 15'),P313505.4.2.0 (o 3),P313510.19.3.1 (o 25),P313510.24.6.1 (o 30),P313517.10.5.1 (b.e. 7'),P313547.26.2.1 (r 2),P313553.25.7.0 (o 23'),P313571.13.1.1 (o 11'),P313596.9.5.3 (o 7'),P313622.8.4.1 (o 6'),P313622.17.7.1 (r 5'),P313626.27.3.3 (r 8),P313629.5.1.0 (o 3'),P313630.4.2.0 (o 3),P313630.5.1.0 (o 4),P313630.6.1.0 (o 5),P313644.48.5.0 (r 18),P313720.11.1.1 (o 9'),P313740.7.4.1 (o 5'),P313754.4.2.0 (o 3),P313779.15.1.1 (r 2),P313807.5.3.2 (o 3'),P313807.7.3.1 (o 5'),P313823.4.4.2 (o 2'),P313823.6.2.2 (o 4'),P313878.8.1.1 (o 7),P313892.18.5.1 (r 4'),P313892.20.5.1 (r 6'),P313903.6.1.3 (o 5),P313975.4.2.0 (o 3),P313975.7.1.1 (o 6),P313992.14.5.2 (r 4'),P314022.5.4.3 (o 3'),P314022.7.7.1 (o 5'),P314032.4.2.0 (o 3),P314041.6.3.1 (o 4'),P314127.7.1.3 (o 5'),P314167.7.3.1 (o 5'),P314286.24.1.1 (r 7'),P314287.4.3.1 (o 2'),P314293.15.8.2 (r 1'),P334039.7.4.1 (o 6),P334049.4.2.0 (o 3),P334049.33.1.1 (r 13),P334050.4.2.0 (o 3),P334050.7.5.1 (o 6),P334050.16.2.1 (o 15),P334051.9.5.2 (o 8),P334051.10.2.2 (o 9),P334053.4.2.0 (o 3),P334054.4.2.0 (o 3),P334056.4.2.0 (o 3),P334075.4.2.0 (o 3),P334075.9.2.1 (o 8),P334078.4.2.0 (o 3),P334078.7.1.0 (o 6),P334079.4.2.0 (o 3),P334079.15.2.0 (o 14),P334079.17.1.5 (o 16),P334079.31.2.0 (r 7'),P334079.32.2.0 (r 8'),P334079.35.1.5 (r 11'),P334079.36.2.0 (r 12'),P334080.4.2.0 (o 3),P334081.13.2.0 (o 12),P334127.4.2.0 (o 3),P334135.17.2.2 (o 16),P334136.4.2.0 (o 3),P334136.8.1.1 (o 7),P334136.20.1.0 (r 1),P334136.28.2.1 (r 9),P334143.20.2.1 (o 19),P334150.4.2.0 (o 3),P334170.4.2.0 (o 3),P334171.4.2.0 (o 3),P334197.4.2.0 (o 3),P334197.8.1.1 (o 7),P334197.17.1.1 (r 2'),P334197.21.1.1 (r 6'),P334198.4.2.0 (o 3),P334205.29.2.1 (r 6),P334209.11.1.2 (o 10),P334223.6.2.0 (o 5),P334223.7.1.0 (o 6),P334223.8.1.0 (o 7),P334263.4.2.0 (o 3),P334279.35.2.1 (r 7),P334284.5.2.2 (o 4),P334284.8.1.1 (o 7),P334284.33.3.0 (r 9),P334284.39.1.1 (r 15),P334298.4.2.0 (o 3),P334298.7.2.0 (o 6),P334298.37.3.1 (r 15),P334333.4.2.0 (o 3),P334351.4.2.0 (o 3),P334439.19.1.1 (r 2),P334498.4.2.0 (o 3),P334505.5.1.0 (o 4),P334567.4.2.0 (o 3),P334567.31.2.1 (r 12),P334586.14.1.1 (o 11),P334587.19.2.1 (r 6'),P334588.24.2.1 (r 7),P334592.4.1.1 (o 3),P334592.5.2.0 (o 4),P334621.4.2.0 (o 3),P334621.11.4.1 (o 10),P334621.23.2.1 (r 5),P334631.4.2.0 (o 3),P334632.3.2.3 (o 2),P334634.5.1.0 (o 3),P334643.4.2.0 (o 3),P334643.6.3.0 (o 5),P334687.4.2.0 (o 3),P334698.6.1.1 (o 5),P334715.14.3.2 (o 13),P334718.19.2.0 (o 17),P334721.9.3.0 (o 7'),P334726.32.1.1 (r 11),P334727.22.3.1 (r 8),P334773.11.1.2 (o 9'),P334773.22.1.2 (o 20'),P334773.22.1.4 (o 20'),P334774.10.1.2 (o 9),P334774.13.1.1 (o 12),P334776.5.2.3 (o 3'),P334776.8.1.1 (o 6'),P334776.14.1.1 (o 12'),P334776.26.1.0 (r 4),P334776.27.2.1 (r 5),P334776.35.2.1 (r 13),P334793.12.3.2 (o 10'),P334795.11.1.1 (o 9'),P334807.14.3.3 (o 13),P334810.4.2.0 (o 3),P334834.7.3.3 (o 5'),P334841.4.2.0 (o 3),P334841.7.1.1 (o 6),P334859.4.2.0 (o 3),P334864.14.1.1 (b.e. 11'),P334865.7.3.2 (o 5'),P334865.27.1.5 (r 6),P337151.4.1.0 (o 3),P393866.5.2.0 (o 4),X900007.6.6.2 (o 5)",160
64,DI,t,,,"P334280.4.2.0 (o 3),P334291.14.6.1 (nolabel)",2
65,DI,y,,,"P313854.4.1.0 (o 3),P334789.3.4.0 (o 2)",2
66,DIB,m,,,P224485.15.4.0 (o 14),1
67,DIM,t,,,"P334151.17.2.2 (r 2),P334314.7.3.0 (o 6)",2
68,DIM@g,t,,,"P313442.6.5.0 (o 4'),P313442.11.1.0 (o 9'),P334151.17.1.0 (r 2)",3
69,DIN,d,,,"P224485.34.4.3 (o 33),P313654.8.5.1 (o 6'),P313910.21.2.1 (r 5'),P313910.23.1.1 (r 7')",4
70,DU,d,,,"P313492.55.1.1 (r 25),P313506.14.1.4 (o 12'),P313657.10.4.1 (o 8'),P313672.10.5.3 (o 8'),P313796.12.3.1 (o 10'),P313814.57.3.1 (r 13),P314232.17.2.1 (o 15'),P334114.3.2.4 (o 2),P334116.3.2.4 (o 2),P334136.11.2.3 (o 10),P334298.32.2.3 (r 10),P334504.3.2.4 (o 2),P334504.6.3.1 (o 5),P334505.3.2.4 (o 2),P334565.3.2.4 (o 2),P334567.15.2.2 (o 14),P334781.3.2.4 (o 2),P334916.3.2.4 (o 2),P334916.7.2.3 (o 6)",19
71,DU,t,,,"P334726.7.2.2 (o 6),P334726.7.2.3 (o 6)",2
72,DU@g,m,,,P313753.21.1.1 (r 5'),1
73,DU@g,p,,,P313547.27.6.1 (r 3),1
74,DU@g,t,,,"P334279.8.3.1 (o 7),P334279.11.3.1 (o 10)",2
75,DUB,dm,,,"P313876.4.2.2 (o 2'),P334091.2.2.2 (o 1),P334222.12.2.0 (o 11),P334298.31.3.2 (r 9),P334442.31.3.2 (r 12)",5
76,DUB,m,,,"P313416.5.2.1 (o 4),P313416.14.2.1 (o 13),P313416.17.2.0 (b.e. 15),P313439.33.3.2 (r 11),P313452.4.4.2 (o 3),P313452.6.4.2 (o 5),P313452.8.3.2 (o 7),P313452.10.1.2 (o 9),P313452.43.4.2 (r 8),P313527.11.1.2 (o 10),P313559.21.3.2 (r 6'),P334038.8.1.2 (o 7),P334039.7.3.0 (o 6),P334039.17.1.0 (r 1),P334039.27.3.0 (r 11),P334041.29.3.2 (r 7),P334117.7.4.2 (o 6),P334499.25.2.0 (r 4),P334595.20.5.1 (r 4)",19
77,DUN,m,,,"P313416.4.2.0 (o 3),P313883.5.2.0 (o 4)",2
78,DUN₃,m,,,P313883.7.2.0 (o 6),1
79,DUN₄,m,,,P334847.26.7.1 (o 25),1
80,E,d,,,"P313417.12.2.0 (o 11),P313417.15.2.2 (o 14),P313417.39.5.2 (r 9),P313425.54.2.3 (r 22),P313454.11.3.0 (o 10),P313476.35.2.1 (r 12),P313518.16.1.0 (o 14'),P313573.6.4.0 (o 5'),P313618.8.1.0 (r 5'),P313624.6.2.0 (o 4'),P313654.10.3.0 (o 8'),P313699.9.1.2 (o 13),P313756.27.3.3 (r 3'),P313916.3.7.0 (o 1'),P314313.6.2.0 (o 4'),P334050.34.3.0 (r 13),P334199.16.1.0 (o 15),P334302.29.2.0 (r 8),P334302.33.5.2 (r 12),P334302.35.3.1 (r 14),P334302.53.1.0 (e. 3),P334316.14.3.2 (o 13),P334316.15.3.0 (o 14),P334316.16.3.3 (o 15),P334331.20.5.1 (r 2),P334534.12.1.2 (o 11),P334643.10.1.0 (o 9),P334643.11.2.0 (o 10),P334776.28.2.1 (r 6),P334779.11.2.0 (o 9'),P334781.10.4.0 (o 9),X900007.32.3.0 (r 28),X900009.16.7.2 (o 15),X900010.30.4.2 (r 4),X900010.32.1.0 (r 6)",35
81,E,dm,,,P334097.8.2.2 (o 7),1
82,EL,p,,,P334339.13.2.1 (o 12),1
83,E₂,d,,,"P313425.15.3.0 (o 14),P313887.8.1.0 (o 6'),P314282.15.7.0 (r 3),P314304.21.6.0 (r 4),P334037.3.2.4 (o 2),P334042.11.2.0 (o 10),P334114.38.2.0 (r 11),P334116.36.2.0 (r 12),P334139.14.2.0 (o 12),P334307.8.2.0 (o 7),P334347.18.2.0 (o 17),P334442.26.4.0 (r 7),P334504.23.2.0 (r 5'),P334504.27.3.0 (r 9'),P334565.13.2.0 (r 4'),P334676.9.4.0 (o 8),P334916.25.5.3 (r 6')",17
84,E₂,m,,,"P313453.33.3.1 (r 13),P334100.27.3.0 (r 2),P334100.47.3.0 (r.e. 21),P334139.29.2.0 (r 9),P334298.31.2.0 (r 9),P334298.31.5.0 (r 9),P334298.31.5.0 (r 9)",7
85,E₂,p,,,"P313541.15.1.3 (o 13'),P313609.5.2.0 (r 2),P334163.12.5.0 (o 11),P334163.13.5.0 (o 12),P334377.31.3.0 (r 11'),P334390.14.6.0 (o 13)",6
86,E₂,t,,,P313454.24.3.0 (r 7),1
87,E₂,ym,,,P313501.10.2.0 (o 8'),1
88,GA,d,,,P314304.20.6.1 (r 3),1
89,GA,p,,,"P313417.20.2.2 (o 19),P313417.42.1.2 (r 12)",2
90,GABA,d,,,"P313417.9.1.0 (o 8),P313417.15.3.0 (o 14)",2
91,GABA,p,,,"P313518.24.1.0 (b.e. 21'),P313653.7.5.0 (o 6),P313991.21.3.3 (r 4),P334090.29.2.1 (r 2),P334339.12.1.0 (o 11),P334361.23.2.0 (r 6),P334713.19.1.1 (r 3),P336636.5.3.1 (o 3')",8
92,GAD,d,,,P334390.10.2.1 (o 9),1
93,GAL,p,,,"P313425.15.3.1 (o 14),P313629.15.1.1 (r 4),P313978.5.1.2 (o 3'),P314288.12.7.1 (o 10'),P334377.31.3.1 (r 11')",5
94,GAN,m,,,"P334711.6.3.3 (r 2'),P334711.10.3.3 (r 6'),P334711.15.1.3 (r 11')",3
95,GAR,m,,,"P313510.59.1.1 (r 23),P334792.9.1.1 (o 8),X900007.5.3.1 (o 4),X900008.29.3.0 (r 26)",4
96,GAR₃,d,,,P313603.11.3.1 (r 6'),1
97,GAR₃,p,,,"P313991.23.5.1 (r 6),P314268.6.4.1 (r 3'),P334141.21.1.2 (o 20)",3
98,GA₂,p,,,P313756.26.8.0 (r 2'),1
99,GI,p,,,"P313417.15.2.1 (o 14),P313547.7.1.0 (o 5')",2
100,GIR₂,p,,,P334090.19.3.0 (o 18),1
101,GIR₃,d,,,P334100.9.3.0 (o 8),1
102,GIŠ,d,,,"P313447.9.4.0 (o 8),P313547.7.2.0 (o 5'),P313659.8.5.0 (o 6'),P313730.8.7.0 (r 4'),P313774.6.5.1 (o 4'),P313822.11.1.3 (o 12),P313966.8.1.0 (o 6'),P314245.8.1.0 (o 7),P334344.30.2.0 (r 3),P334521.8.2.0 (o 7),P334521.9.2.0 (o 8),P334567.6.2.0 (o 5),X900008.9.2.2 (o 8)",13
103,GU₂,t,,,"P313640.9.4.0 (o 8),P313785.7.5.0 (o 5'),P313785.14.6.0 (r 2),P314128.7.1.2 (o 5'),P314128.7.1.2 (o 5'),P314232.15.1.0 (o 13'),P314288.7.10.0 (o 5'),P334390.9.2.0 (o 8),P334390.20.2.0 (o 19)",9
104,HA@g,p,,,"P313469.18.6.1 (r 4'),P334049.25.1.1 (r 5),P334157.19.3.2 (r 6'),P334861.13.7.1 (o 12)",4
105,HI,p,,,"P313469.18.5.1 (r 4'),P313474.35.2.2 (r 12'),P313480.7.6.0 (o 6),P313620.25.6.2 (r 7),P313738.6.4.3 (o 4'),P313974.6.1.1 (5'),P314022.8.5.1 (o 6'),P314043.11.8.0 (o 9'),P314227.9.5.2 (o 8),P314268.6.3.1 (r 3'),P334071.31.3.1 (r 11),P334092.38.2.1 (r 15'),P334093.14.3.1 (o 13),P334103.35.2.0 (r 11),P334146.5.3.1 (o 4),P334150.10.3.1 (o 9),P334180.26.2.1 (r 8),P334291.6.6.0 (o 5),P334333.11.3.1 (o 10),P334442.35.3.0 (e. 1),P334586.17.2.1 (o 14),P334613.7.4.1 (o 6),P334674.25.3.3 (r 10'),P334718.19.1.1 (o 17),P334718.27.2.2 (r 5),P334773.22.3.0 (o 20'),P334820.12.2.2 (o 11),P337150.26.3.1 (r 4)",28
106,HU,d,,,"P313453.30.4.2 (r 10),P313500.10.1.2 (o 8'),P313617.7.4.0 (o 5'),P313698.6.4.1 (o 5),P314243.15.3.2 (14'),P314246.7.9.3 (o 5'),P334157.3.4.1 (o 2)",7
107,I,p,,,"P334093.24.3.1 (r 5'),P334279.58.4.0 (e. 1),P334339.8.1.0 (o 7),P334377.31.4.0 (r 11'),P334439.9.1.0 (o 6'),P334783.7.1.1 (7)",6
108,IB,d,,,P334606.34.3.0 (r 6),1
109,IG,d,,,"P313420.23.1.0 (r 5'),P313425.42.3.0 (r 10),P313452.5.2.0 (o 4),P313452.61.5.0 (r 26),P313511.14.1.3 (r 3),P313571.15.4.0 (o 13'),P313600.7.3.3 (o 5'),P313600.10.3.3 (o 8'),P313601.9.2.0 (o 7'),P313644.49.4.0 (r 19),P313652.10.4.1 (o 8'),P313711.29.2.0 (r 12'),P313785.5.6.0 (o 3'),P313828.9.1.0 (r 5'),P313863.3.9.1 (o 1'),P313863.8.6.0 (o 6'),P313887.7.1.0 (o 5'),P313887.13.1.0 (r 3),P313917.7.1.2 (o 5'),P313947.8.2.1 (r 4'),P313966.4.2.1 (o 2'),P314200.7.1.0 (o 5'),P314272.7.3.0 (o 5'),P314280.22.2.0 (r 8'),P314300.22.1.0 (r 7'),P314302.8.2.3 (o 7),P334049.31.1.0 (r 11),P334051.14.3.0 (o 13),P334055.18.4.2 (r 4'),P334125.19.1.0 (r 2),P334137.9.1.0 (o 8),P334160.7.2.0 (o 6),P334170.20.4.0 (r 5'),P334187.41.4.0 (r 14),P334195.17.1.0 (o 16),P334198.22.1.0 (r 8'),P334305.22.2.0 (r 1),P334314.26.1.0 (r 5),P334314.26.3.1 (r 5),P334333.11.3.0 (o 10),P334333.39.4.0 (r.e. 18),P334401.9.1.0 (o 7'),P334422.19.2.0 (b.e. 16'),P334587.25.1.4 (r 12'),P334642.10.1.2 (o 9),P334667.15.1.1 (r 5),P334772.5.4.0 (o 3'),P334774.19.3.0 (o 18),P334776.9.1.1 (o 7'),P334776.9.1.4 (o 7'),P334918.21.3.0 (r 8')",51
110,IG,y,,,"P313473.12.1.0 (o 11),P313571.30.3.0 (r 7),P314028.4.7.0 (o 2'),P334212.6.1.4 (o 5),P334212.9.1.1 (o 8),P334288.6.1.0 (o 5),P334291.10.1.0 (o 9),P334298.26.1.1 (r 4),P334331.16.2.0 (o 15),P334384.12.1.0 (o 11),P334445.13.3.1 (r 3),P334683.3.1.0 (o 2),P334683.8.3.0 (o 7),P334683.16.3.0 (r 3'),P334683.22.4.0 (r 9'),P334783.9.1.0 (9)",16
