,headword,xis_entry,form,xis_form,instances_all
8262,šipṭu[judgement]N,akk.r026ee,šip-ṭu,akk.r026ee,"saao/sargonletters:P334155.35.4,saao/sargonletters:P334381.41.1"
8263,šiqlu[unit]N,akk.r026ef,GIN₂,akk.r026f0,"saao/sargonletters:P313425.44.4,saao/sargonletters:P313723.32.4,saao/sargonletters:P314257.18.4,saao/sargonletters:P334302.11.4,saao/sargonletters:P334302.12.4,saao/sargonletters:P334415.10.5,saao/sargonletters:P334415.9.5,saao/sargonletters:P334918.15.2,saao/sargonletters:X900007.8.4"
8264,šiqlu[unit]N,akk.r026ef,GIN₂-MEŠ,akk.r026f1,saao/sargonletters:P313852.21.2
8265,šizbu[milk]N,akk.r026f6,GA,akk.r026f6,"saao/sargonletters:P334155.10.5,saao/sargonletters:P334155.22.15"
8266,šiāhu[(meaning unknown)]V,akk.r026f7,ši-a-hu,akk.r026f7,"saao/sargonletters:P334179.39.1,saao/sargonletters:P334205.22.2"
8267,šiāru[morning]N,akk.r026f8,i-ši-a-ri,akk.r00dca,"saao/sargonletters:P313635.10.2,saao/sargonletters:P334049.30.1,saao/sargonletters:P334050.28.3,saao/sargonletters:P334776.16.1,saao/sargonletters:X900008.21.1"
8268,šiāru[morning]N,akk.r026f8,i-ši-a-ru-ma,akk.r00dcb,saao/sargonletters:P334050.29.2
8269,šiāru[morning]N,akk.r026f8,i-ši-ia-ri,akk.r00dcc,saao/sargonletters:P314329.7.2
8270,šiāru[morning]N,akk.r026f8,še-a-ri,akk.r026f9,saao/sargonletters:P334158.30.2
8271,šiāru[morning]N,akk.r026f8,ši-a-ri,akk.r026fa,"saao/sargonletters:P313458.18.7,saao/sargonletters:P313543.23.2,saao/sargonletters:P334136.27.3,saao/sargonletters:P334150.25.3,saao/sargonletters:P334703.8.2,saao/sargonletters:P334864.23.10"
8272,šiāṣu[decline]V,akk.r026fc,i-si-ṣu,akk.r026fc,"saao/sargonletters:P313439.23.5,saao/sargonletters:P334347.29.2"
8273,šiṭru[(piece of) writing]N,akk.r026ff,ši-ṭi-ri-ša₂,akk.r026ff,saao/sargonletters:P334322.56.6
8274,šubtu[dwelling]N,akk.r02700,E₂-šu-ub-te,akk.r006df,saao/sargonletters:P313498.19.4
8275,šubtu[dwelling]N,akk.r02700,E₂-šu-ub-te-šu₂-nu,akk.r006e0,saao/sargonletters:P334498.28.2
8276,šubtu[dwelling]N,akk.r02700,KI.TUŠ,akk.r02701,saao/sargonletters:P334794.8.3
8277,šubtu[dwelling]N,akk.r02700,šu-ub-tu₂,akk.r02702,saao/sargonletters:P334084.22.1
8278,šubtu[dwelling]N,akk.r02700,šub-ti,akk.r02703,"saao/sargonletters:P334331.12.3,saao/sargonletters:P334820.10.2"
8279,šubtu[dwelling]N,akk.r02700,šub-ti-šu,akk.r02704,saao/sargonletters:P334081.19.2
8280,šubtu[dwelling]N,akk.r02700,šub-ti-šu₂,akk.r02705,"saao/sargonletters:P334586.12.4,saao/sargonletters:P334586.9.4"
8281,šubtu[dwelling]N,akk.r02700,šub-tu₂,akk.r02706,saao/sargonletters:X900005.17.2
8282,šuglû[deported]AJ,akk.r02710,{LU₂}šag-lu-u-te,akk.r02711,"saao/sargonletters:P313626.6.3,saao/sargonletters:P314278.7.2"
8283,šuglû[deported]AJ,akk.r02710,{LU₂}ša₂-ga-lu-te,akk.r02712,saao/sargonletters:P313573.15.2
8284,šuglû[deported]AJ,akk.r02710,ša₂-ga-lu-u-ni,akk.r02713,saao/sargonletters:P334772.6.4
8285,šuglû[deported]N,akk.r02715,{LU₂}šag-lu-te,akk.r02715,"saao/sargonletters:P334211.11.2,saao/sargonletters:P334211.14.1,saao/sargonletters:P334211.17.5,saao/sargonletters:P334211.7.1"
8286,šuh[on the subject of]PRP,akk.r02716,šu-uh,akk.r02716,"saao/sargonletters:P334100.5.1,saao/sargonletters:P334101.5.1,saao/sargonletters:P334347.26.1,saao/sargonletters:P334347.34.3"
8287,šuharruru[be deathly still]V,akk.r02717,u₂-sa-ha-ri-ri,akk.r02717,saao/sargonletters:P334318.26.1
8288,šukkallu[(a court official)]N,akk.r02718,{LU₂}SUKKAL,akk.r02718,"saao/sargonletters:P313527.9.2,saao/sargonletters:P313759.3.6,saao/sargonletters:P313766.6.3,saao/sargonletters:P313848.8.6,saao/sargonletters:P334020.12.3,saao/sargonletters:P334020.15.1,saao/sargonletters:P334020.2.2,saao/sargonletters:P334020.5.4,saao/sargonletters:P334080.2.2,saao/sargonletters:P334080.30.2,saao/sargonletters:P334080.4.4,saao/sargonletters:P334080.6.2,saao/sargonletters:P334174.18.2,saao/sargonletters:P334174.2.2,saao/sargonletters:P334174.4.4,saao/sargonletters:P334291.13.2,saao/sargonletters:P334291.35.2,saao/sargonletters:P334346.2.2,saao/sargonletters:P334346.4.4,saao/sargonletters:P334346.5.4,saao/sargonletters:P334346.7.3,saao/sargonletters:P334390.21.10,saao/sargonletters:P334390.24.8,saao/sargonletters:P334390.39.8,saao/sargonletters:P334390.42.6,saao/sargonletters:P334723.2.2,saao/sargonletters:P334723.21.2,saao/sargonletters:P334723.5.2,saao/sargonletters:P334820.2.2"
8289,šuklulu[complete]AJ,akk.r0271b,šak-la-lu-tu,akk.r0271b,saao/sargonletters:P334616.6.1
8290,šullumu[accomplished]AJ,akk.r0271c,šal-lum,akk.r0271c,saao/sargonletters:P313624.11.5
8291,šulmu[completeness]N,akk.r0271d,DI,akk.r0271e,saao/sargonletters:P314294.4.2
8292,šulmu[completeness]N,akk.r0271d,DI-me,akk.r0271f,"saao/sargonletters:P224485.28.5,saao/sargonletters:P313750.15.4,saao/sargonletters:P334177.40.2,saao/sargonletters:P334894.11.4"
8293,šulmu[completeness]N,akk.r0271d,DI-me-ia,akk.r02720,saao/sargonletters:P313587.6.4
8294,šulmu[completeness]N,akk.r0271d,DI-mu,akk.r02721,"saao/sargonletters:P237089.4.2,saao/sargonletters:P313417.4.2,saao/sargonletters:P313419.4.2,saao/sargonletters:P313419.5.1,saao/sargonletters:P313420.4.2,saao/sargonletters:P313420.5.1,saao/sargonletters:P313421.4.2,saao/sargonletters:P313425.4.2,saao/sargonletters:P313425.5.5,saao/sargonletters:P313425.9.1,saao/sargonletters:P313427.4.2,saao/sargonletters:P313434.4.2,saao/sargonletters:P313435.4.2,saao/sargonletters:P313437.4.2,saao/sargonletters:P313439.4.2,saao/sargonletters:P313447.4.2,saao/sargonletters:P313452.3.2,saao/sargonletters:P313452.5.1,saao/sargonletters:P313455.4.2,saao/sargonletters:P313457.4.2,saao/sargonletters:P313469.3.2,saao/sargonletters:P313470.4.2,saao/sargonletters:P313471.4.2,saao/sargonletters:P313471.5.1,saao/sargonletters:P313472.4.2,saao/sargonletters:P313472.5.1,saao/sargonletters:P313476.4.2,saao/sargonletters:P313478.4.2,saao/sargonletters:P313478.6.3,saao/sargonletters:P313479.4.2,saao/sargonletters:P313480.4.2,saao/sargonletters:P313480.5.1,saao/sargonletters:P313480.6.1,saao/sargonletters:P313483.4.2,saao/sargonletters:P313483.5.1,saao/sargonletters:P313486.5.2,saao/sargonletters:P313492.4.2,saao/sargonletters:P313492.5.1,saao/sargonletters:P313492.6.1,saao/sargonletters:P313494.4.2,saao/sargonletters:P313496.4.2,saao/sargonletters:P313497.4.2,saao/sargonletters:P313502.5.1,saao/sargonletters:P313504.4.2,saao/sargonletters:P313504.48.2,saao/sargonletters:P313504.5.1,saao/sargonletters:P313504.6.1,saao/sargonletters:P313505.4.2,saao/sargonletters:P313510.4.2,saao/sargonletters:P313510.5.1,saao/sargonletters:P313515.4.2,saao/sargonletters:P313516.4.2,saao/sargonletters:P313516.5.1,saao/sargonletters:P313523.4.2,saao/sargonletters:P313527.4.2,saao/sargonletters:P313540.4.2,saao/sargonletters:P313542.4.3,saao/sargonletters:P313546.4.2,saao/sargonletters:P313573.3.7,saao/sargonletters:P313575.4.2,saao/sargonletters:P313575.5.1,saao/sargonletters:P313576.4.2,saao/sargonletters:P313594.4.2,saao/sargonletters:P313598.22.1,saao/sargonletters:P313615.4.2,saao/sargonletters:P313619.4.2,saao/sargonletters:P313623.4.2,saao/sargonletters:P313629.5.1,saao/sargonletters:P313630.4.2,saao/sargonletters:P313630.5.1,saao/sargonletters:P313630.6.1,saao/sargonletters:P313647.3.2,saao/sargonletters:P313647.4.1,saao/sargonletters:P313653.3.2,saao/sargonletters:P313653.3.6,saao/sargonletters:P313653.3.9,saao/sargonletters:P313673.4.2,saao/sargonletters:P313675.4.2,saao/sargonletters:P313677.4.2,saao/sargonletters:P313679.4.2,saao/sargonletters:P313684.4.2,saao/sargonletters:P313698.4.2,saao/sargonletters:P313700.3.4,saao/sargonletters:P313700.4.1,saao/sargonletters:P313700.4.4,saao/sargonletters:P313706.4.2,saao/sargonletters:P313722.4.2,saao/sargonletters:P313722.5.1,saao/sargonletters:P313722.6.1,saao/sargonletters:P313722.7.1,saao/sargonletters:P313725.3.2,saao/sargonletters:P313728.4.2,saao/sargonletters:P313739.4.2,saao/sargonletters:P313742.4.2,saao/sargonletters:P313743.4.2,saao/sargonletters:P313743.6.1,saao/sargonletters:P313750.4.2,saao/sargonletters:P313750.5.1,saao/sargonletters:P313750.6.1,saao/sargonletters:P313754.4.2,saao/sargonletters:P313761.4.2,saao/sargonletters:P313788.4.2,saao/sargonletters:P313801.4.2,saao/sargonletters:P313810.4.2,saao/sargonletters:P313814.3.2,saao/sargonletters:P313814.3.5,saao/sargonletters:P313814.4.1,saao/sargonletters:P313814.63.4,saao/sargonletters:P313854.4.1,saao/sargonletters:P313856.4.2,saao/sargonletters:P313864.3.2,saao/sargonletters:P313874.4.2,saao/sargonletters:P313878.4.2,saao/sargonletters:P313903.4.2,saao/sargonletters:P313904.10.2,saao/sargonletters:P313910.4.2,saao/sargonletters:P313911.3.2,saao/sargonletters:P313922.4.2,saao/sargonletters:P313926.4.2,saao/sargonletters:P313942.3.2,saao/sargonletters:P313942.3.6,saao/sargonletters:P313955.4.2,saao/sargonletters:P313973.4.2,saao/sargonletters:P313975.4.2,saao/sargonletters:P313980.4.2,saao/sargonletters:P313980.5.1,saao/sargonletters:P313990.4.2,saao/sargonletters:P313991.4.2,saao/sargonletters:P313991.5.1,saao/sargonletters:P313991.6.1,saao/sargonletters:P313996.4.2,saao/sargonletters:P313996.6.1,saao/sargonletters:P313998.4.2,saao/sargonletters:P314003.4.2,saao/sargonletters:P314003.5.1,saao/sargonletters:P314003.6.1,saao/sargonletters:P314003.7.1,saao/sargonletters:P314003.8.1,saao/sargonletters:P314018.4.2,saao/sargonletters:P314023.4.2,saao/sargonletters:P314029.4.2,saao/sargonletters:P314032.4.2,saao/sargonletters:P314037.4.2,saao/sargonletters:P314071.4.2,saao/sargonletters:P314139.4.2,saao/sargonletters:P314153.4.2,saao/sargonletters:P314207.4.2,saao/sargonletters:P314212.4.2,saao/sargonletters:P314212.5.1,saao/sargonletters:P314214.4.2,saao/sargonletters:P314223.3.2,saao/sargonletters:P314227.3.4,saao/sargonletters:P314236.4.2,saao/sargonletters:P314236.5.1,saao/sargonletters:P314257.4.2,saao/sargonletters:P314273.4.2,saao/sargonletters:P314283.4.2,saao/sargonletters:P314296.4.2,saao/sargonletters:P314300.4.2,saao/sargonletters:P314301.4.2,saao/sargonletters:P314301.5.1,saao/sargonletters:P314302.4.2,saao/sargonletters:P314302.5.1,saao/sargonletters:P314302.5.4,saao/sargonletters:P314313.4.1,saao/sargonletters:P314316.27.2,saao/sargonletters:P314326.4.2,saao/sargonletters:P314326.5.1,saao/sargonletters:P314326.5.4,saao/sargonletters:P334020.5.2,saao/sargonletters:P334036.4.2,saao/sargonletters:P334037.4.2,saao/sargonletters:P334038.4.2,saao/sargonletters:P334039.4.2,saao/sargonletters:P334040.4.2,saao/sargonletters:P334041.4.1,saao/sargonletters:P334041.5.1,saao/sargonletters:P334041.6.1,saao/sargonletters:P334041.7.1,saao/sargonletters:P334041.8.2,saao/sargonletters:P334042.4.2,saao/sargonletters:P334043.4.2,saao/sargonletters:P334044.4.2,saao/sargonletters:P334045.4.2,saao/sargonletters:P334046.4.2,saao/sargonletters:P334047.4.2,saao/sargonletters:P334048.3.1,saao/sargonletters:P334048.3.4,saao/sargonletters:P334048.4.1,saao/sargonletters:P334048.4.4,saao/sargonletters:P334048.5.2,saao/sargonletters:P334049.4.2,saao/sargonletters:P334050.4.2,saao/sargonletters:P334051.4.2,saao/sargonletters:P334053.4.2,saao/sargonletters:P334054.4.2,saao/sargonletters:P334055.4.2,saao/sargonletters:P334056.4.2,saao/sargonletters:P334074.4.2,saao/sargonletters:P334074.5.1,saao/sargonletters:P334074.9.4,saao/sargonletters:P334075.4.2,saao/sargonletters:P334077.25.6,saao/sargonletters:P334077.3.2,saao/sargonletters:P334077.3.6,saao/sargonletters:P334078.4.2,saao/sargonletters:P334078.7.1,saao/sargonletters:P334079.4.2,saao/sargonletters:P334080.4.2,saao/sargonletters:P334081.13.2,saao/sargonletters:P334081.4.2,saao/sargonletters:P334082.4.2,saao/sargonletters:P334083.4.2,saao/sargonletters:P334084.4.2,saao/sargonletters:P334084.6.1,saao/sargonletters:P334090.3.2,saao/sargonletters:P334091.4.2,saao/sargonletters:P334092.3.2,saao/sargonletters:P334092.3.6,saao/sargonletters:P334092.4.5,saao/sargonletters:P334092.5.2,saao/sargonletters:P334093.4.2,saao/sargonletters:P334094.3.2,saao/sargonletters:P334097.4.1,saao/sargonletters:P334100.4.2,saao/sargonletters:P334101.4.2,saao/sargonletters:P334102.4.2,saao/sargonletters:P334103.4.2,saao/sargonletters:P334104.4.2,saao/sargonletters:P334105.4.2,saao/sargonletters:P334106.4.2,saao/sargonletters:P334107.4.2,saao/sargonletters:P334108.4.2,saao/sargonletters:P334109.4.2,saao/sargonletters:P334110.4.2,saao/sargonletters:P334111.4.2,saao/sargonletters:P334114.4.2,saao/sargonletters:P334115.4.2,saao/sargonletters:P334116.4.2,saao/sargonletters:P334117.4.2,saao/sargonletters:P334118.11.2,saao/sargonletters:P334118.14.1,saao/sargonletters:P334118.4.2,saao/sargonletters:P334119.4.2,saao/sargonletters:P334119.5.1,saao/sargonletters:P334120.4.2,saao/sargonletters:P334120.5.1,saao/sargonletters:P334124.4.2,saao/sargonletters:P334125.4.2,saao/sargonletters:P334127.4.2,saao/sargonletters:P334136.20.1,saao/sargonletters:P334136.4.2,saao/sargonletters:P334137.4.2,saao/sargonletters:P334138.4.2,saao/sargonletters:P334140.4.2,saao/sargonletters:P334143.4.2,saao/sargonletters:P334143.5.1,saao/sargonletters:P334143.58.1,saao/sargonletters:P334143.6.1,saao/sargonletters:P334143.7.1,saao/sargonletters:P334144.4.2,saao/sargonletters:P334144.5.1,saao/sargonletters:P334144.6.1,saao/sargonletters:P334144.7.1,saao/sargonletters:P334145.4.2,saao/sargonletters:P334145.5.1,saao/sargonletters:P334145.6.1,saao/sargonletters:P334146.4.2,saao/sargonletters:P334150.4.2,saao/sargonletters:P334151.18.2,saao/sargonletters:P334151.4.2,saao/sargonletters:P334155.4.2,saao/sargonletters:P334157.3.2,saao/sargonletters:P334160.4.2,saao/sargonletters:P334165.16.1,saao/sargonletters:P334165.4.2,saao/sargonletters:P334165.5.1,saao/sargonletters:P334165.6.1,saao/sargonletters:P334166.18.1,saao/sargonletters:P334166.4.2,saao/sargonletters:P334166.5.1,saao/sargonletters:P334166.6.2,saao/sargonletters:P334167.4.2,saao/sargonletters:P334167.6.5,saao/sargonletters:P334169.4.2,saao/sargonletters:P334170.4.2,saao/sargonletters:P334171.4.2,saao/sargonletters:P334171.5.1,saao/sargonletters:P334171.6.1,saao/sargonletters:P334171.7.1,saao/sargonletters:P334171.8.1,saao/sargonletters:P334172.4.2,saao/sargonletters:P334172.5.1,saao/sargonletters:P334172.6.1,saao/sargonletters:P334172.7.1,saao/sargonletters:P334172.8.1,saao/sargonletters:P334173.4.2,saao/sargonletters:P334174.4.2,saao/sargonletters:P334175.4.2,saao/sargonletters:P334176.4.2,saao/sargonletters:P334179.4.2,saao/sargonletters:P334180.4.2,saao/sargonletters:P334181.4.2,saao/sargonletters:P334182.4.2,saao/sargonletters:P334182.7.4,saao/sargonletters:P334189.5.2,saao/sargonletters:P334190.3.1,saao/sargonletters:P334197.4.2,saao/sargonletters:P334198.4.2,saao/sargonletters:P334199.4.2,saao/sargonletters:P334200.4.2,saao/sargonletters:P334201.4.2,saao/sargonletters:P334201.5.2,saao/sargonletters:P334202.4.2,saao/sargonletters:P334202.5.1,saao/sargonletters:P334203.4.2,saao/sargonletters:P334203.5.1,saao/sargonletters:P334204.4.2,saao/sargonletters:P334205.4.2,saao/sargonletters:P334206.4.2,saao/sargonletters:P334206.5.1,saao/sargonletters:P334208.4.2,saao/sargonletters:P334209.4.2,saao/sargonletters:P334210.4.2,saao/sargonletters:P334211.5.2,saao/sargonletters:P334213.4.2,saao/sargonletters:P334214.4.2,saao/sargonletters:P334222.4.2,saao/sargonletters:P334223.6.2,saao/sargonletters:P334223.7.1,saao/sargonletters:P334223.8.1,saao/sargonletters:P334256.4.2,saao/sargonletters:P334258.4.2,saao/sargonletters:P334263.4.2,saao/sargonletters:P334264.4.2,saao/sargonletters:P334264.5.1,saao/sargonletters:P334271.4.2,saao/sargonletters:P334272.4.1,saao/sargonletters:P334272.5.1,saao/sargonletters:P334272.6.1,saao/sargonletters:P334272.7.1,saao/sargonletters:P334272.8.2,saao/sargonletters:P334273.4.2,saao/sargonletters:P334279.4.2,saao/sargonletters:P334280.4.2,saao/sargonletters:P334281.4.2,saao/sargonletters:P334282.4.2,saao/sargonletters:P334284.33.3,saao/sargonletters:P334284.37.1,saao/sargonletters:P334284.4.2,saao/sargonletters:P334288.4.2,saao/sargonletters:P334291.3.2,saao/sargonletters:P334291.4.1,saao/sargonletters:P334291.5.1,saao/sargonletters:P334296.4.2,saao/sargonletters:P334296.6.1,saao/sargonletters:P334298.4.2,saao/sargonletters:P334298.7.2,saao/sargonletters:P334302.4.2,saao/sargonletters:P334305.4.2,saao/sargonletters:P334308.4.2,saao/sargonletters:P334314.4.2,saao/sargonletters:P334316.4.2,saao/sargonletters:P334322.4.2,saao/sargonletters:P334328.4.2,saao/sargonletters:P334329.4.2,saao/sargonletters:P334330.4.2,saao/sargonletters:P334331.4.2,saao/sargonletters:P334332.5.2,saao/sargonletters:P334333.4.2,saao/sargonletters:P334334.4.2,saao/sargonletters:P334335.4.2,saao/sargonletters:P334336.4.2,saao/sargonletters:P334338.4.2,saao/sargonletters:P334339.4.2,saao/sargonletters:P334343.4.2,saao/sargonletters:P334343.5.1,saao/sargonletters:P334344.17.4,saao/sargonletters:P334344.21.1,saao/sargonletters:P334344.4.2,saao/sargonletters:P334344.5.1,saao/sargonletters:P334345.4.2,saao/sargonletters:P334345.5.1,saao/sargonletters:P334346.4.2,saao/sargonletters:P334347.4.2,saao/sargonletters:P334347.6.1,saao/sargonletters:P334348.4.2,saao/sargonletters:P334348.6.1,saao/sargonletters:P334349.4.2,saao/sargonletters:P334349.6.1,saao/sargonletters:P334350.4.2,saao/sargonletters:P334350.6.1,saao/sargonletters:P334351.4.2,saao/sargonletters:P334351.6.1,saao/sargonletters:P334360.4.2,saao/sargonletters:P334361.4.2,saao/sargonletters:P334367.4.2,saao/sargonletters:P334369.4.2,saao/sargonletters:P334372.4.2,saao/sargonletters:P334373.3.2,saao/sargonletters:P334373.4.1,saao/sargonletters:P334373.5.1,saao/sargonletters:P334375.4.2,saao/sargonletters:P334377.4.2,saao/sargonletters:P334384.4.2,saao/sargonletters:P334396.4.2,saao/sargonletters:P334400.4.2,saao/sargonletters:P334411.3.2,saao/sargonletters:P334411.4.3,saao/sargonletters:P334413.4.2,saao/sargonletters:P334443.4.2,saao/sargonletters:P334446.10.3,saao/sargonletters:P334446.4.2,saao/sargonletters:P334446.5.1,saao/sargonletters:P334446.9.1,saao/sargonletters:P334483.4.2,saao/sargonletters:P334483.5.1,saao/sargonletters:P334496.4.2,saao/sargonletters:P334497.4.2,saao/sargonletters:P334498.4.2,saao/sargonletters:P334498.5.1,saao/sargonletters:P334499.4.2,saao/sargonletters:P334500.4.2,saao/sargonletters:P334501.4.2,saao/sargonletters:P334502.3.2,saao/sargonletters:P334504.4.2,saao/sargonletters:P334505.5.1,saao/sargonletters:P334507.4.2,saao/sargonletters:P334507.5.1,saao/sargonletters:P334512.4.2,saao/sargonletters:P334520.4.2,saao/sargonletters:P334520.5.1,saao/sargonletters:P334520.6.1,saao/sargonletters:P334520.7.1,saao/sargonletters:P334521.4.2,saao/sargonletters:P334521.5.1,saao/sargonletters:P334521.6.1,saao/sargonletters:P334529.4.2,saao/sargonletters:P334534.4.2,saao/sargonletters:P334534.5.1,saao/sargonletters:P334534.7.1,saao/sargonletters:P334534.9.1,saao/sargonletters:P334535.4.2,saao/sargonletters:P334536.4.2,saao/sargonletters:P334537.4.2,saao/sargonletters:P334538.4.2,saao/sargonletters:P334539.4.2,saao/sargonletters:P334540.4.2,saao/sargonletters:P334540.5.1,saao/sargonletters:P334543.4.2,saao/sargonletters:P334554.4.2,saao/sargonletters:P334555.4.2,saao/sargonletters:P334556.4.2,saao/sargonletters:P334557.4.2,saao/sargonletters:P334558.4.2,saao/sargonletters:P334559.4.2,saao/sargonletters:P334561.4.2,saao/sargonletters:P334562.4.2,saao/sargonletters:P334562.5.1,saao/sargonletters:P334562.6.1,saao/sargonletters:P334563.4.2,saao/sargonletters:P334564.4.2,saao/sargonletters:P334565.4.2,saao/sargonletters:P334567.4.2,saao/sargonletters:P334568.4.2,saao/sargonletters:P334588.19.1,saao/sargonletters:P334588.4.2,saao/sargonletters:P334592.17.2,saao/sargonletters:P334592.5.2,saao/sargonletters:P334606.4.2,saao/sargonletters:P334606.5.1,saao/sargonletters:P334607.4.2,saao/sargonletters:P334609.26.5,saao/sargonletters:P334609.4.2,saao/sargonletters:P334610.5.1,saao/sargonletters:P334612.4.2,saao/sargonletters:P334613.4.2,saao/sargonletters:P334615.4.2,saao/sargonletters:P334616.4.2,saao/sargonletters:P334617.4.2,saao/sargonletters:P334618.4.2,saao/sargonletters:P334621.4.2,saao/sargonletters:P334622.4.2,saao/sargonletters:P334629.4.2,saao/sargonletters:P334631.4.2,saao/sargonletters:P334632.4.2,saao/sargonletters:P334633.4.2,saao/sargonletters:P334634.5.1,saao/sargonletters:P334635.4.2,saao/sargonletters:P334638.4.2,saao/sargonletters:P334638.5.1,saao/sargonletters:P334638.9.1,saao/sargonletters:P334642.6.1,saao/sargonletters:P334643.4.2,saao/sargonletters:P334643.6.3,saao/sargonletters:P334656.4.2,saao/sargonletters:P334656.5.1,saao/sargonletters:P334661.4.2,saao/sargonletters:P334661.6.5,saao/sargonletters:P334663.4.2,saao/sargonletters:P334673.4.2,saao/sargonletters:P334673.5.1,saao/sargonletters:P334674.4.2,saao/sargonletters:P334676.4.2,saao/sargonletters:P334679.4.2,saao/sargonletters:P334687.4.2,saao/sargonletters:P334689.4.4,saao/sargonletters:P334697.28.4,saao/sargonletters:P334697.3.1,saao/sargonletters:P334698.4.2,saao/sargonletters:P334699.4.2,saao/sargonletters:P334703.4.2,saao/sargonletters:P334704.4.2,saao/sargonletters:P334705.33.2,saao/sargonletters:P334713.4.2,saao/sargonletters:P334713.5.1,saao/sargonletters:P334715.4.2,saao/sargonletters:P334716.3.4,saao/sargonletters:P334716.4.4,saao/sargonletters:P334723.4.3,saao/sargonletters:P334724.3.2,saao/sargonletters:P334725.4.2,saao/sargonletters:P334725.5.1,saao/sargonletters:P334725.6.1,saao/sargonletters:P334726.4.2,saao/sargonletters:P334728.5.2,saao/sargonletters:P334731.4.2,saao/sargonletters:P334731.5.1,saao/sargonletters:P334731.6.1,saao/sargonletters:P334774.23.2,saao/sargonletters:P334781.4.2,saao/sargonletters:P334782.4.2,saao/sargonletters:P334783.3.2,saao/sargonletters:P334783.4.1,saao/sargonletters:P334783.5.1,saao/sargonletters:P334786.4.2,saao/sargonletters:P334789.3.4,saao/sargonletters:P334792.4.2,saao/sargonletters:P334804.4.2,saao/sargonletters:P334806.4.2,saao/sargonletters:P334807.4.2,saao/sargonletters:P334810.4.2,saao/sargonletters:P334820.4.2,saao/sargonletters:P334825.3.2,saao/sargonletters:P334830.3.2,saao/sargonletters:P334831.3.2,saao/sargonletters:P334839.4.2,saao/sargonletters:P334841.4.2,saao/sargonletters:P334846.4.2,saao/sargonletters:P334847.4.2,saao/sargonletters:P334847.5.1,saao/sargonletters:P334847.5.4,saao/sargonletters:P334857.4.2,saao/sargonletters:P334857.5.1,saao/sargonletters:P334857.6.1,saao/sargonletters:P334858.20.4,saao/sargonletters:P334858.22.3,saao/sargonletters:P334858.3.4,saao/sargonletters:P334858.4.1,saao/sargonletters:P334858.4.4,saao/sargonletters:P334859.4.2,saao/sargonletters:P334861.4.2,saao/sargonletters:P334887.4.2,saao/sargonletters:P334888.6.2,saao/sargonletters:P334894.14.1,saao/sargonletters:P334894.4.2,saao/sargonletters:P334903.4.2,saao/sargonletters:P334904.4.2,saao/sargonletters:P334909.4.2,saao/sargonletters:P334910.4.1,saao/sargonletters:P334916.4.2,saao/sargonletters:P334918.4.2,saao/sargonletters:P334921.4.2,saao/sargonletters:P334923.4.2,saao/sargonletters:P336166.4.2,saao/sargonletters:P336167.4.2,saao/sargonletters:P336168.4.2,saao/sargonletters:P336169.4.2,saao/sargonletters:P336178.11.1,saao/sargonletters:P336178.4.2,saao/sargonletters:P336596.4.2,saao/sargonletters:P336597.4.2,saao/sargonletters:P336769.8.4,saao/sargonletters:P336770.4.2,saao/sargonletters:P336771.4.2,saao/sargonletters:P336774.3.2,saao/sargonletters:P337150.4.2,saao/sargonletters:P337151.4.1,saao/sargonletters:P337151.5.2,saao/sargonletters:P393855.4.2,saao/sargonletters:P393866.5.2,saao/sargonletters:X900004.4.2,saao/sargonletters:X900005.4.2,saao/sargonletters:X900007.4.2,saao/sargonletters:X900010.4.2,saao/sargonletters:X900014.4.2,saao/sargonletters:X900015.4.2"
8295,šulmu[completeness]N,akk.r0271d,i-DI-me,akk.r00dbf,saao/sargonletters:P334050.16.2
8296,šulmu[completeness]N,akk.r0271d,šul-me,akk.r02722,"saao/sargonletters:P313719.10.7,saao/sargonletters:P314283.20.2,saao/sargonletters:P334142.50.3,saao/sargonletters:P334142.53.2,saao/sargonletters:P334282.21.3,saao/sargonletters:X900014.6.3"
