,headword,xis_entry,instances_all
2145,šipšatu[(length of) wood]N,akk.r026e7,"saao/sargonletters:P313510.40.2 ({GIŠ}ŠU₂.A),saao/sargonletters:P334078.11.2 ({GIŠ}ŠU₂.A),saao/sargonletters:P334078.16.2 ({GIŠ}ŠU₂.A),saao/sargonletters:P313510.63.1 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P313628.22.3 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P313698.10.3 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P313698.7.2 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P314275.18.4 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P314275.3.2 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P314275.8.3 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P334078.24.2 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P334078.29.2 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P334078.33.2 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P334078.38.2 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P334078.42.2 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P334078.9.2 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P334322.27.2 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P334348.15.4 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P334348.21.1 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P334348.24.4 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P334400.16.4 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P334521.8.2 ({GIŠ}ŠU₂.A-MEŠ),saao/sargonletters:P334792.10.1 ({GIŠ}ši-ib-ša₂-te),saao/sargonletters:P334792.5.3 ({GIŠ}ši-ib-ša₂-te)"
2146,šipṭu[judgement]N,akk.r026ee,"saao/sargonletters:P334155.35.4 (šip-ṭu),saao/sargonletters:P334381.41.1 (šip-ṭu)"
2147,šiqlu[unit]N,akk.r026ef,"saao/sargonletters:P313425.44.4 (GIN₂),saao/sargonletters:P313723.32.4 (GIN₂),saao/sargonletters:P314257.18.4 (GIN₂),saao/sargonletters:P334302.11.4 (GIN₂),saao/sargonletters:P334302.12.4 (GIN₂),saao/sargonletters:P334415.10.5 (GIN₂),saao/sargonletters:P334415.9.5 (GIN₂),saao/sargonletters:P334918.15.2 (GIN₂),saao/sargonletters:X900007.8.4 (GIN₂),saao/sargonletters:P313852.21.2 (GIN₂-MEŠ)"
2148,šizbu[milk]N,akk.r026f6,"saao/sargonletters:P334155.10.5 (GA),saao/sargonletters:P334155.22.15 (GA)"
2149,šiāhu[(meaning unknown)]V,akk.r026f7,"saao/sargonletters:P334179.39.1 (ši-a-hu),saao/sargonletters:P334205.22.2 (ši-a-hu)"
2150,šiāru[morning]N,akk.r026f8,"saao/sargonletters:P313635.10.2 (i-ši-a-ri),saao/sargonletters:P334049.30.1 (i-ši-a-ri),saao/sargonletters:P334050.28.3 (i-ši-a-ri),saao/sargonletters:P334776.16.1 (i-ši-a-ri),saao/sargonletters:X900008.21.1 (i-ši-a-ri),saao/sargonletters:P334050.29.2 (i-ši-a-ru-ma),saao/sargonletters:P314329.7.2 (i-ši-ia-ri),saao/sargonletters:P334158.30.2 (še-a-ri),saao/sargonletters:P313458.18.7 (ši-a-ri),saao/sargonletters:P313543.23.2 (ši-a-ri),saao/sargonletters:P334136.27.3 (ši-a-ri),saao/sargonletters:P334150.25.3 (ši-a-ri),saao/sargonletters:P334703.8.2 (ši-a-ri),saao/sargonletters:P334864.23.10 (ši-a-ri)"
2151,šiāṣu[decline]V,akk.r026fc,"saao/sargonletters:P313439.23.5 (i-si-ṣu),saao/sargonletters:P334347.29.2 (i-si-ṣu)"
2152,šiṭru[(piece of) writing]N,akk.r026ff,saao/sargonletters:P334322.56.6 (ši-ṭi-ri-ša₂)
2153,šubtu[dwelling]N,akk.r02700,"saao/sargonletters:P313498.19.4 (E₂-šu-ub-te),saao/sargonletters:P334498.28.2 (E₂-šu-ub-te-šu₂-nu),saao/sargonletters:P334794.8.3 (KI.TUŠ),saao/sargonletters:P334084.22.1 (šu-ub-tu₂),saao/sargonletters:P334331.12.3 (šub-ti),saao/sargonletters:P334820.10.2 (šub-ti),saao/sargonletters:P334081.19.2 (šub-ti-šu),saao/sargonletters:P334586.12.4 (šub-ti-šu₂),saao/sargonletters:P334586.9.4 (šub-ti-šu₂),saao/sargonletters:X900005.17.2 (šub-tu₂)"
2154,šuglû[deported]AJ,akk.r02710,"saao/sargonletters:P313626.6.3 ({LU₂}šag-lu-u-te),saao/sargonletters:P314278.7.2 ({LU₂}šag-lu-u-te),saao/sargonletters:P313573.15.2 ({LU₂}ša₂-ga-lu-te),saao/sargonletters:P334772.6.4 (ša₂-ga-lu-u-ni)"
2155,šuglû[deported]N,akk.r02715,"saao/sargonletters:P334211.11.2 ({LU₂}šag-lu-te),saao/sargonletters:P334211.14.1 ({LU₂}šag-lu-te),saao/sargonletters:P334211.17.5 ({LU₂}šag-lu-te),saao/sargonletters:P334211.7.1 ({LU₂}šag-lu-te)"
2156,šuh[on the subject of]PRP,akk.r02716,"saao/sargonletters:P334100.5.1 (šu-uh),saao/sargonletters:P334101.5.1 (šu-uh),saao/sargonletters:P334347.26.1 (šu-uh),saao/sargonletters:P334347.34.3 (šu-uh)"
2157,šuharruru[be deathly still]V,akk.r02717,saao/sargonletters:P334318.26.1 (u₂-sa-ha-ri-ri)
2158,šukkallu[(a court official)]N,akk.r02718,"saao/sargonletters:P313527.9.2 ({LU₂}SUKKAL),saao/sargonletters:P313759.3.6 ({LU₂}SUKKAL),saao/sargonletters:P313766.6.3 ({LU₂}SUKKAL),saao/sargonletters:P313848.8.6 ({LU₂}SUKKAL),saao/sargonletters:P334020.12.3 ({LU₂}SUKKAL),saao/sargonletters:P334020.15.1 ({LU₂}SUKKAL),saao/sargonletters:P334020.2.2 ({LU₂}SUKKAL),saao/sargonletters:P334020.5.4 ({LU₂}SUKKAL),saao/sargonletters:P334080.2.2 ({LU₂}SUKKAL),saao/sargonletters:P334080.30.2 ({LU₂}SUKKAL),saao/sargonletters:P334080.4.4 ({LU₂}SUKKAL),saao/sargonletters:P334080.6.2 ({LU₂}SUKKAL),saao/sargonletters:P334174.18.2 ({LU₂}SUKKAL),saao/sargonletters:P334174.2.2 ({LU₂}SUKKAL),saao/sargonletters:P334174.4.4 ({LU₂}SUKKAL),saao/sargonletters:P334291.13.2 ({LU₂}SUKKAL),saao/sargonletters:P334291.35.2 ({LU₂}SUKKAL),saao/sargonletters:P334346.2.2 ({LU₂}SUKKAL),saao/sargonletters:P334346.4.4 ({LU₂}SUKKAL),saao/sargonletters:P334346.5.4 ({LU₂}SUKKAL),saao/sargonletters:P334346.7.3 ({LU₂}SUKKAL),saao/sargonletters:P334390.21.10 ({LU₂}SUKKAL),saao/sargonletters:P334390.24.8 ({LU₂}SUKKAL),saao/sargonletters:P334390.39.8 ({LU₂}SUKKAL),saao/sargonletters:P334390.42.6 ({LU₂}SUKKAL),saao/sargonletters:P334723.2.2 ({LU₂}SUKKAL),saao/sargonletters:P334723.21.2 ({LU₂}SUKKAL),saao/sargonletters:P334723.5.2 ({LU₂}SUKKAL),saao/sargonletters:P334820.2.2 ({LU₂}SUKKAL)"
2159,šuklulu[complete]AJ,akk.r0271b,saao/sargonletters:P334616.6.1 (šak-la-lu-tu)
2160,šullumu[accomplished]AJ,akk.r0271c,saao/sargonletters:P313624.11.5 (šal-lum)
